timestamp,S0-CBO.LLC_VICTIMS.M_STATE,S0-CBO.LLC_VICTIMS.MISS,S0-CBO.LLC_VICTIMS,S1-CBO.LLC_VICTIMS.M_STATE,S1-CBO.LLC_VICTIMS.MISS,S1-CBO.LLC_VICTIMS
0.200906079,85204,10740,0,3053540,427939,0
0.301632396,58107,7931,0,3065748,471469,0
0.402444900,50484,7219,0,3216937,138993,0
0.503351307,41083,6060,0,3470507,40909,0
0.604255180,44943,6339,0,3379098,39810,0
0.704948712,48644,5513,0,3154681,316042,0
0.805844912,58847,6154,0,3062014,438673,0
0.908047908,922984,144849,0,5911163,484378,0
1.009448015,1971800,181189,0,4067213,422132,0
1.110555688,150078,4769,0,887276,7482,0
1.211367154,115390,2782,0,522064,2213,0
1.312132737,138761,3592,0,503558,1669,0
1.412914119,131446,4065,0,524577,2381,0
1.513703838,124314,2869,0,527706,4070,0
1.614458628,109561,1623,0,545374,6437,0
1.715220570,127780,2753,0,538645,4731,0
1.816256560,126482,2767,0,548986,11169,0
1.917292755,147168,4322,0,558575,11752,0
2.018314022,126122,2220,0,576960,6110,0
2.119353953,128747,3739,0,513535,1437,0
2.220373497,126959,1732,0,540522,5684,0
2.321404310,113538,1512,0,561196,7635,0
2.424113613,106982,1493,0,713300,6669,0
2.526772863,115794,1656,0,588747,7891,0
2.629439554,107974,1249,0,567983,8059,0
2.730191791,193744,3727,0,580049,5138,0
2.830932292,149909,4763,0,558617,9888,0
2.931684151,186533,4543,0,598011,6235,0
3.032721869,143101,4006,0,551770,4112,0
3.133757047,113954,1970,0,551353,6082,0
3.234794455,131487,3367,0,514507,1736,0
3.335847708,109929,1691,0,543026,4396,0
3.436883229,129699,3560,0,961256,18302,0
3.537925845,607690,54813,0,9553327,83084,0
3.639021393,1709664,401682,0,1587408,289469,0
3.739864522,2090190,1238858,0,1904111,746879,0
3.840712355,1051041,705915,0,1415214,440260,0
3.941594499,53076,15193,0,375567,69338,0
4.042454405,81666,9741,0,75524,35682,0
4.143018462,39992,3430,0,58362,29812,0
4.243862512,50591,3920,0,73650,32158,0
4.344415470,71766,5792,0,64587,30390,0
4.445554994,5640295,710879,0,5739184,763466,0
4.546979262,5759946,982523,0,6225727,1052182,0
4.648284736,842679,3699189,0,9846273,3617873,0
4.749317653,9856481,2057496,0,16562340,1632726,0
4.850314611,12391811,617255,0,6584322,366123,0
4.951739833,6222435,315644,0,4301090,343546,0
5.052461059,2603025,394051,0,376850,576210,0
5.153182749,86683,476735,0,97417,422773,0
5.253919042,89797,447356,0,76899,431473,0
5.354649368,100421,481638,0,68164,425303,0
5.455389281,90484,462081,0,73813,429578,0
5.556107845,88388,467754,0,89085,443708,0
5.656847830,83616,449395,0,86377,450677,0
5.757581129,66779,433191,0,101457,473048,0
5.858314803,60340,442114,0,98822,450851,0
5.958985200,63151,426502,0,100385,462527,0
6.059718139,103730,469149,0,79734,418071,0
6.160677429,137484,507875,0,51828,394821,0
6.261661626,54565,412905,0,105893,454664,0
6.362653024,90933,457624,0,78112,401537,0
