dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory,llc_hit,llc_hitm,llc_miss,llc_lookup_stat,llc_hitm_stat,llc_hit_stat,llc_miss_stat,maxrss,avgrss1,maxwss,avgwss,ref
"SF-30",0,"q01",5.01,0.00,0.00%,0,8261736,2691810,10173940,100,105266,4066,9179,11937042,736519,1932003,1932003,8197.7,4427.2714953271025,8193.35,4423.079112149533,7869.33
"SF-30",0,"q02",173.18,0.00,0.00%,0,1251712,742112,3719396,100,18956,1381,2475,10773335,327197,366064,366064,1202.62,749.2608928571428,1198.26,744.92125,855.76
"SF-30",0,"q03",172.07,0.00,0.00%,0,5357268,4299080,12510664,100,223123,14148,25340,43654401,1048588,1199239,1199239,6328.26,4063.3259210526317,6323.83,4058.8665789473685,5990.77
"SF-30",0,"q04",35.12,0.00,0.00%,0,4708936,3624100,8004684,100,44673,3043,7493,11073951,900727,1565947,1565947,4910.92,2726.8964122137404,4906.51,2722.4425190839693,4579.21
"SF-30",0,"q05",4.50,0.00,0.00%,0,5194664,1118540,12743264,100,98422,6012,14612,99345766,1315178,2576830,2576830,5524.07,3259.2166502463056,5519.63,3254.724778325123,5186.49
"SF-30",0,"q06",1.92,0.00,0.00%,0,4946092,1363563,7966252,100,43357,3281,6433,10937955,1084218,5255227,5255227,5502.09,2817.414213483146,5495.47,2813.0068539325844,5314.65
"SF-30",0,"q07",8.50,0.00,0.00%,0,5861204,4045190,10931276,100,93765,5850,10071,174308309,932875,4424438,4424438,6771.43,3906.545049019608,6767.14,3902.186862745098,6434.01
"SF-30",0,"q08",47.51,0.00,0.00%,0,6142372,3534110,13673800,100,121697,8622,18179,60287411,1336073,1148712,1148712,6497.71,3923.5467772511847,6493.51,3919.313744075829,6171.03
"SF-30",0,"q09",5.34,0.00,0.00%,0,3948936,1261190,13409456,100,287786,18346,32748,559047972,3027343,27376218,27376218,4957.93,2688.5551118210865,4953.5,2684.0538977635783,4629.43
"SF-30",0,"q10",32.77,0.00,0.00%,0,3722564,3185010,11253016,100,113197,9508,19879,25517034,1055519,5678537,5678537,4110.59,2731.799057591623,4106.16,2727.383507853403,3773.02
"SF-30",0,"q11",130.76,0.00,0.00%,0,1023956,497848,3475464,100,28791,2169,3612,6338169,271977,1252141,1252141,1037.34,643.5913888888889,1030.65,638.9683333333334,940.64
"SF-30",0,"q12",13.35,0.00,0.00%,0,3915096,1154940,6705724,100,47191,3937,6331,8697904,377078,1687698,1687698,4315.58,2239.55,4310.63,2235.2264233576643,3996.63
"SF-30",0,"q13",4007.42,0.00,0.00%,0,5539440,5078140,7314440,100,281584,20323,56996,120201755,1111040,2554031,2554031,5313.5,2702.9452095808383,5309.06,2698.436646706587,4970.85
"SF-30",0,"q14",9.19,0.00,0.00%,0,2781708,1067350,7348820,100,71113,5666,9150,10325550,923445,4222060,4222060,3384.43,2023.0450322580646,3379.9,2018.6296774193547,3060.26
"SF-30",0,"q15",9.50,0.00,0.00%,0,2832552,1867340,9448872,100,67557,5191,8919,35224645,929361,5159478,5159478,4185.69,2251.5750675675677,4181.46,2247.267972972973,3847.82
"SF-30",0,"q16",662.48,0.00,0.00%,0,1355748,1073640,3468644,100,59061,4213,8895,33622909,484814,506978,506978,1332.99,879.4378724672229,1328.7,875.1089034564958,966.86
"SF-30",0,"q17",3.04,0.00,0.00%,0,3036516,647124,6467316,100,86311,5163,8971,14362906,222293,846690,846690,3022.62,1499.6742553191489,3015.8,1495.2070212765957,2864.08
"SF-30",0,"q18",25.22,0.00,0.00%,0,7184392,3133730,13179212,100,184981,16359,26468,17673944,1198368,488926,488926,7550.75,3679.265253456221,7546.37,3674.8330414746542,7211.31
"SF-30",0,"q19",3.69,0.00,0.00%,0,3507164,2971490,8804092,100,50738,4030,6242,13593977,1175726,3237395,3237395,3472.57,2191.02496,3466.16,2186.676,3217.41
"SF-30",0,"q20",13.24,0.00,0.00%,0,4737420,3658960,7559396,100,81611,4925,9901,90691199,1438936,3053041,3053041,4667.83,937.4181458451103,4663.23,932.9615715093273,4333.54
"SF-30",0,"q21",4.36,0.00,0.00%,0,9258540,7984990,10730972,100,168890,8645,22731,229615737,1477469,3813242,3813242,7893.06,5135.697477876106,7888.66,5131.244601769911,7554.36
"SF-30",0,"q22",4.36,0.00,0.00%,0,1089584,671131,3272248,100,64424,3100,6087,125786724,347422,1064312,1064312,1059.22,619.51,1054.84,615.2338235294118,683.5
