,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22
Memory Size,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB,2GB
memory_bandwidth,2.8%,0.0%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.2%,0.0%,0.0%,0.0%,0.0%
memory_latency,37.3%,0.0%,34.9%,39.9%,70.4%,46.2%,60.7%,38.3%,52.2%,40.7%,1.2%,29.5%,31.1%,48.1%,53.5%,46.7%,54.2%,51.2%,0.0%,36.2%,0.0%,40.4%
core_bound,23.2%,89.2%,22.8%,15.7%,14.6%,24.4%,16.8%,22.4%,22.9%,30.5%,57.8%,9.3%,31.8%,39.7%,31.3%,25.4%,6.7%,26.9%,0.0%,36.8%,44.3%,42.5%
memory_bound,17.0%,0.0%,27.9%,12.1%,51.0%,20.6%,39.9%,11.7%,25.2%,29.1%,0.0%,2.5%,33.2%,26.3%,29.8%,45.2%,3.7%,18.9%,0.0%,25.0%,50.0%,12.3%
DRAM_bound,5.5%,0.0%,19.9%,10.2%,46.3%,0.0%,26.3%,21.4%,20.2%,23.9%,0.0%,1.6%,18.6%,27.1%,13.7%,19.4%,0.1%,3.8%,0.0%,9.0%,3.8%,6.4%
Memory Size,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB,8GB
memory_bandwidth,1.6%,0.0%,0.0%,0.0%,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,1.8%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
memory_latency,36.0%,0.0%,26.7%,35.9%,56.8%,31.4%,38.3%,20.7%,53.7%,38.9%,0.0%,20.2%,66.6%,45.1%,53.1%,38.3%,36.2%,30.5%,58.3%,43.8%,39.0%,41.0%
core_bound,23.2%,86.5%,26.9%,24.0%,16.1%,29.1%,24.8%,18.8%,23.4%,26.5%,75.1%,16.3%,25.5%,27.9%,15.3%,17.2%,10.3%,17.2%,27.3%,16.6%,17.2%,21.2%
memory_bound,18.6%,0.0%,28.8%,7.4%,43.0%,23.7%,35.1%,34.5%,29.2%,28.5%,0.0%,8.3%,36.5%,28.4%,25.3%,45.4%,3.8%,22.2%,12.2%,21.2%,17.6%,32.5%
DRAM_bound,4.7%,0.0%,10.5%,11.6%,39.9%,16.4%,22.9%,9.3%,24.7%,24.6%,0.0%,4.6%,40.9%,36.1%,8.1%,11.2%,0.3%,6.3%,3.4%,14.2%,8.7%,22.3%
Memory Size,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB,64GB
memory_bandwidth,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
memory_latency,24.9%,0.0%,25.7%,12.2%,16.6%,37.6%,39.0%,24.5%,38.9%,24.1%,0.0%,30.6%,20.7%,23.1%,50.4%,45.3%,33.3%,0.0%,34.2%,28.2%,21.6%,51.1%
core_bound,28.8%,89.3%,15.2%,21.3%,35.2%,1.7%,8.9%,22.9%,23.1%,25.1%,72.1%,19.3%,18.8%,20.9%,30.2%,17.6%,10.6%,43.1%,7.7%,29.9%,20.5%,11.5%
memory_bound,18.2%,0.0%,21.1%,8.6%,13.4%,15.0%,22.2%,16.8%,26.2%,24.2%,0.0%,9.1%,34.5%,21.7%,32.9%,46.7%,4.0%,33.9%,12.4%,21.3%,25.9%,27.6%
DRAM_bound,17.6%,0.0%,0.0%,8.0%,4.2%,14.6%,0.7%,0.0%,17.8%,6.4%,0.0%,11.8%,9.3%,3.7%,18.2%,12.3%,4.5%,0.0%,8.3%,18.6%,0.0%,10.9%
